"","Year","Lg","G","W","L","Ties","W.L.","pythW.L.","Finish","GB","Playoffs","R","RA","Attendance","BatAge","PAge","X.Bat","X.P","Top.Player","Managers","Team","Popularity"
"346",1994,"AL Central",113,66,47,0,58.4,0.586,"2nd of 5",1,"",679,562,1995174,28.3,30.7,40,21,"K.Lofton (7.2)","M.Hargrove (66-47)","Cleveland Indians","Unpopular"
"347",1993,"AL East",162,76,86,0,46.9,0.487,"6th of 7",19,"",790,813,2177908,27.2,27.3,48,26,"K.Lofton (7.6)","M.Hargrove (76-86)","Cleveland Indians","Popular"
"348",1992,"AL East",162,76,86,0,46.9,0.454,"4th of 7",20,"",674,746,1224094,25.7,27,42,20,"K.Lofton (6.6)","M.Hargrove (76-86)","Cleveland Indians","Unpopular"
"349",1991,"AL East",162,57,105,0,35.2,0.376,"7th of 7",34,"",576,759,1051863,25.5,26.8,53,24,"G.Swindell (3.8)","J.McNamara (25-52) and M.Hargrove (32-53)","Cleveland Indians","Unpopular"
"350",1990,"AL East",162,77,85,0,47.5,0.497,"4th of 7",11,"",732,737,1225240,27.3,28.1,44,21,"B.Jacoby (3.6)","J.McNamara (77-85)","Cleveland Indians","Unpopular"
"351",1989,"AL East",162,73,89,0,45.1,0.464,"6th of 7",16,"",604,654,1285542,27,28.5,47,20,"T.Candiotti (4.7)","D.Edwards (65-78) and J.Hart (8-11)","Cleveland Indians","Unpopular"
"352",1988,"AL East",162,78,84,0,48.1,0.457,"6th of 7",11,"",666,731,1411610,28.1,27,44,18,"G.Swindell (5.9)","D.Edwards (78-84)","Cleveland Indians","Unpopular"
"353",1987,"AL East",162,61,101,0,37.7,0.386,"7th of 7",37,"",742,957,1077898,27.5,30.5,44,21,"B.Butler (4.9)","P.Corrales (31-56) and D.Edwards (30-45)","Cleveland Indians","Unpopular"
"354",1986,"AL East",163,84,78,1,51.9,0.495,"5th of 7",11,"",831,841,1471805,27.5,29.8,36,18,"J.Carter (5.8)","P.Corrales (84-78)","Cleveland Indians","Unpopular"
"355",1985,"AL East",162,60,102,0,37,0.424,"7th of 7",39,"",729,861,655181,28,27.4,38,19,"B.Butler (4.7)","P.Corrales (60-102)","Cleveland Indians","Very unpopular"
"356",1984,"AL East",163,75,87,1,46.3,0.497,"6th of 7",29,"",761,766,734079,27.4,27.2,40,19,"B.Blyleven (7.2)","P.Corrales (75-87)","Cleveland Indians","Very unpopular"
"357",1983,"AL East",162,70,92,0,43.2,0.45,"7th of 7",28,"",704,785,768941,29.9,27.7,40,17,"L.Sorensen (3.9)","M.Ferraro (40-60) and P.Corrales (30-32)","Cleveland Indians","Very unpopular"
"358",1982,"AL East",162,78,84,0,48.1,0.459,"6th of 7",17,"",683,748,1044021,28.7,27.4,36,16,"T.Harrah (6.6)","D.Garcia (78-84)","Cleveland Indians","Unpopular"
"359",1981,"AL East",103,52,51,0,50.5,0.488,"6th of 7",7,"",431,442,661395,28.8,28.3,33,12,"B.Blyleven (5.6)","D.Garcia (52-51)","Cleveland Indians","Very unpopular"
"360",1980,"AL East",160,79,81,0,49.4,0.459,"6th of 7",23,"",738,807,1033827,27.7,26.8,33,13,"T.Harrah (4.4)","D.Garcia (79-81)","Cleveland Indians","Unpopular"
"361",1979,"AL East",161,81,80,0,50.3,0.474,"6th of 7",22,"",760,805,1011644,28.2,26.7,33,14,"S.Monge (5.6)","J.Torborg (43-52) and D.Garcia (38-28)","Cleveland Indians","Unpopular"
"362",1978,"AL East",159,69,90,0,43.4,0.462,"6th of 7",29,"",639,694,800584,26.7,27.1,36,14,"A.Thornton (5.4)","J.Torborg (69-90)","Cleveland Indians","Very unpopular"
"363",1977,"AL East",161,71,90,0,44.1,0.459,"5th of 7",28,"",676,739,900365,27.7,27.9,33,14,"D.Eckersley (5.0)","F.Robinson (26-31) and J.Torborg (45-59)","Cleveland Indians","Very unpopular"
"364",1976,"AL East",159,81,78,0,50.9,0.5,"4th of 6",16,"",615,615,948776,27.3,28.4,34,13,"B.Bell (3.8)","F.Robinson (81-78)","Cleveland Indians","Very unpopular"
"365",1975,"AL East",159,79,80,0,49.7,0.49,"4th of 6",15,"",688,703,977039,26.7,27.8,41,19,"D.Eckersley (5.3)","F.Robinson (79-80)","Cleveland Indians","Very unpopular"
"366",1974,"AL East",162,77,85,0,47.5,0.478,"4th of 6",14,"",662,694,1114262,25.5,31.5,45,18,"G.Perry (8.5)","K.Aspromonte (77-85)","Cleveland Indians","Unpopular"
"367",1973,"AL East",162,71,91,0,43.8,0.412,"6th of 6",26,"",680,826,615107,24.6,28.6,35,16,"G.Perry (7.8)","K.Aspromonte (71-91)","Cleveland Indians","Very unpopular"
"368",1972,"AL East",156,72,84,0,46.2,0.457,"5th of 6",14,"",472,519,626354,25.4,26.6,36,16,"G.Perry (11.0)","K.Aspromonte (72-84)","Cleveland Indians","Very unpopular"
"369",1971,"AL East",162,60,102,0,37,0.358,"6th of 6",43,"",543,747,591361,26.3,25.1,37,16,"G.Nettles (7.5)","A.Dark (42-61) and J.Lipon (18-41)","Cleveland Indians","Very unpopular"
"370",1970,"AL East",162,76,86,0,46.9,0.482,"5th of 6",32,"",649,675,729752,26.2,25.9,36,16,"S.McDowell (7.9)","A.Dark (76-86)","Cleveland Indians","Very unpopular"
"371",1969,"AL East",161,62,99,0,38.5,0.399,"6th of 6",46,"",573,717,619970,27.3,27.3,40,16,"S.McDowell (6.4)","A.Dark (62-99)","Cleveland Indians","Very unpopular"
"372",2018,"NL West",163,91,72,0,55.8,0.521,"2nd of 5",1,"Lost LDS (3-0)",780,745,3015880,28.7,27.9,41,21,"K.Freeland (8.2)","B.Black (91-72)","Colorado Rockies","Very popular"
"373",2017,"NL West",162,87,75,0,53.7,0.539,"3rd of 5",17,"Lost NLWC (1-0)",824,757,2953650,28.3,27,41,21,"N.Arenado (7.1)","B.Black (87-75)","Colorado Rockies","Popular"
"374",2016,"NL West",162,75,87,0,46.3,0.492,"3rd of 5",16,"",845,860,2602524,27.8,27.7,47,25,"N.Arenado (6.6)","W.Weiss (75-87)","Colorado Rockies","Popular"
"375",2015,"NL West",162,68,94,0,42,0.438,"5th of 5",24,"",737,844,2506789,28,28.7,51,30,"N.Arenado (5.8)","W.Weiss (68-94)","Colorado Rockies","Popular"
"376",2014,"NL West",162,66,96,0,40.7,0.463,"4th of 5",28,"",755,818,2680329,27.4,28.5,49,26,"T.Tulowitzki (5.5)","W.Weiss (66-96)","Colorado Rockies","Popular"
"377",2013,"NL West",162,74,88,0,45.7,0.466,"5th of 5",18,"",706,760,2793828,27.7,28.3,43,23,"J.Chacin (5.9)","W.Weiss (74-88)","Colorado Rockies","Popular"
"378",2012,"NL West",162,64,98,0,39.5,0.427,"5th of 5",30,"",758,890,2630458,28.1,28.2,49,27,"R.Betancourt (2.7)","J.Tracy (64-98)","Colorado Rockies","Popular"
"379",2011,"NL West",162,73,89,0,45.1,0.476,"4th of 5",21,"",735,774,2909777,28.6,27.7,55,29,"T.Tulowitzki (6.2)","J.Tracy (73-89)","Colorado Rockies","Popular"
"380",2010,"NL West",162,83,79,0,51.2,0.533,"3rd of 5",9,"",770,717,2875245,28.8,28.1,43,23,"U.Jimenez (7.3)","J.Tracy (83-79)","Colorado Rockies","Popular"
"381",2009,"NL West",162,92,70,0,56.8,0.553,"2nd of 5",3,"Lost LDS (3-1)",804,715,2665080,27.8,28.5,45,25,"T.Tulowitzki (6.5)","C.Hurdle (18-28) and J.Tracy (74-42)","Colorado Rockies","Popular"
"382",2008,"NL West",162,74,88,0,45.7,0.456,"3rd of 5",10,"",747,822,2650218,27.5,28.5,49,26,"M.Holliday (5.9)","C.Hurdle (74-88)","Colorado Rockies","Popular"
"383",2007,"NL West",163,90,73,0,55.2,0.558,"2nd of 5",0,"Lost WS (4-0)",860,758,2376250,27.9,28.1,53,30,"T.Tulowitzki (6.8)","C.Hurdle (90-73)","Colorado Rockies","Popular"
"384",2006,"NL West",162,76,86,0,46.9,0.501,"4th of 5",12,"",813,812,2104362,27.8,28.8,50,24,"G.Atkins (5.0)","C.Hurdle (76-86)","Colorado Rockies","Popular"
"385",2005,"NL West",162,67,95,0,41.4,0.431,"5th of 5",15,"",740,862,1914389,27.2,27.3,54,27,"T.Helton (4.6)","C.Hurdle (67-95)","Colorado Rockies","Unpopular"
"386",2004,"NL West",162,68,94,0,42,0.453,"4th of 5",25,"",833,923,2338069,30.4,28.8,47,25,"T.Helton (8.3)","C.Hurdle (68-94)","Colorado Rockies","Popular"
"387",2003,"NL West",162,74,88,0,45.7,0.48,"4th of 5",26,"",853,892,2334085,29.5,28,50,23,"T.Helton (6.3)","C.Hurdle (74-88)","Colorado Rockies","Popular"
"388",2002,"NL West",162,73,89,0,45.1,0.435,"4th of 5",25,"",778,898,2737838,28.7,28.5,43,22,"T.Helton (6.3)","B.Bell (6-16) and C.Hurdle (67-73)","Colorado Rockies","Popular"
"389",2001,"NL West",162,73,89,0,45.1,0.509,"5th of 5",19,"",923,906,3166821,28.3,28.7,53,26,"T.Helton (7.8)","B.Bell (73-89)","Colorado Rockies","Very popular"
"390",2000,"NL West",162,82,80,0,50.6,0.535,"4th of 5",15,"",968,897,3295129,29.2,29.9,49,25,"T.Helton (8.9)","B.Bell (82-80)","Colorado Rockies","Very popular"
"391",1999,"NL West",162,72,90,0,44.4,0.442,"5th of 5",28,"",906,1028,3481065,29.7,28.9,44,18,"P.Astacio (5.9)","J.Leyland (72-90)","Colorado Rockies","Very popular"
"392",1998,"NL West",162,77,85,0,47.5,0.484,"4th of 5",21,"",826,855,3792683,29.5,27.8,42,19,"L.Walker (5.7)","D.Baylor (77-85)","Colorado Rockies","Very popular"
"393",1997,"NL West",162,83,79,0,51.2,0.507,"3rd of 4",7,"",923,908,3888453,30.4,27.9,43,23,"L.Walker (9.8)","D.Baylor (83-79)","Colorado Rockies","Very popular"
"394",1996,"NL West",162,83,79,0,51.2,0.499,"3rd of 4",8,"",961,964,3891014,30.1,28.8,44,21,"E.Burks (7.9)","D.Baylor (83-79)","Colorado Rockies","Very popular"
"395",1995,"NL West",144,77,67,0,53.5,0.501,"2nd of 4",1,"Lost LDS (3-1)",785,783,3390037,29.5,28.6,41,20,"L.Walker (4.7)","D.Baylor (77-67)","Colorado Rockies","Very popular"
"396",1994,"NL West",117,53,64,0,45.3,0.451,"3rd of 4",6,"",573,638,3281511,29.7,28,36,18,"M.Freeman (4.5)","D.Baylor (53-64)","Colorado Rockies","Very popular"
"397",1993,"NL West",162,67,95,0,41.4,0.39,"6th of 7",37,"",758,967,4483350,27.7,27.1,46,25,"A.Galarraga (3.5)","D.Baylor (67-95)","Colorado Rockies","Very popular"
"398",2018,"AL Central",162,64,98,0,39.5,0.395,"3rd of 5",27,"",630,796,1856970,27.9,28.6,49,27,"N.Castellanos (2.9)","R.Gardenhire (64-98)","Detroit Tigers","Unpopular"
"399",2017,"AL Central",162,64,98,0,39.5,0.411,"5th of 5",38,"",735,894,2321599,29.6,28.3,49,29,"J.Upton (5.3)","B.Ausmus (64-98)","Detroit Tigers","Popular"
"400",2016,"AL Central",161,86,75,0,53.4,0.518,"2nd of 5",8,"",750,721,2493859,30,29,44,23,"J.Verlander (7.2)","B.Ausmus (86-75)","Detroit Tigers","Popular"
"401",2015,"AL Central",161,74,87,0,46,0.43,"5th of 5",20,"",689,803,2726048,28.3,28.7,47,27,"I.Kinsler (5.9)","B.Ausmus (74-87)","Detroit Tigers","Popular"
"402",2014,"AL Central",162,90,72,0,55.6,0.533,"1st of 5",0,"Lost LDS (3-0)",757,705,2917209,29.8,28.5,48,30,"I.Kinsler (5.8)","B.Ausmus (90-72)","Detroit Tigers","Popular"
"403",2013,"AL Central",162,93,69,0,57.4,0.61,"1st of 5",0,"Lost ALCS (4-2)",796,624,3083397,30,28.4,39,20,"M.Cabrera (7.3)","J.Leyland (93-69)","Detroit Tigers","Very popular"
"404",2012,"AL Central",162,88,74,0,54.3,0.537,"1st of 5",0,"Lost WS (4-0)",726,670,3028033,27.9,28.2,47,23,"J.Verlander (8.0)","J.Leyland (88-74)","Detroit Tigers","Very popular"
"405",2011,"AL Central",162,95,67,0,58.6,0.546,"1st of 5",0,"Lost ALCS (4-2)",787,711,2642045,28.6,27.8,45,26,"J.Verlander (8.6)","J.Leyland (95-67)","Detroit Tigers","Popular"
"406",2010,"AL Central",162,81,81,0,50,0.505,"3rd of 5",13,"",751,743,2461237,29,26.5,41,20,"M.Cabrera (6.5)","J.Leyland (81-81)","Detroit Tigers","Popular"
"407",2009,"AL Central",163,86,77,0,52.8,0.499,"2nd of 5",1,"",743,745,2567165,29.8,26.6,45,23,"J.Verlander (5.4)","J.Leyland (86-77)","Detroit Tigers","Popular"
"408",2008,"AL Central",162,74,88,0,45.7,0.48,"5th of 5",14,"",821,857,3202645,30.3,29.9,46,25,"P.Polanco (4.4)","J.Leyland (74-88)","Detroit Tigers","Very popular"
"409",2007,"AL Central",162,88,74,0,54.3,0.549,"2nd of 5",8,"",887,797,3047133,30.9,28.5,44,25,"C.Granderson (7.6)","J.Leyland (88-74)","Detroit Tigers","Very popular"
"410",2006,"AL Central",162,95,67,0,58.6,0.589,"2nd of 5",1,"Lost WS (4-1)",822,675,2595937,29.3,28.8,40,19,"C.Guillen (6.0)","J.Leyland (95-67)","Detroit Tigers","Popular"
"411",2005,"AL Central",162,71,91,0,43.8,0.461,"4th of 5",28,"",723,787,2024431,28.5,28,45,23,"P.Polanco (4.3)","A.Trammell (71-91)","Detroit Tigers","Popular"
"412",2004,"AL Central",162,72,90,0,44.4,0.491,"4th of 5",20,"",827,844,1917004,28.1,27.5,39,18,"C.Guillen (4.6)","A.Trammell (72-90)","Detroit Tigers","Unpopular"
"413",2003,"AL Central",162,43,119,0,26.5,0.305,"5th of 5",47,"",591,928,1368245,27.3,25.3,43,20,"D.Young (3.4)","A.Trammell (43-119)","Detroit Tigers","Unpopular"
"414",2002,"AL Central",161,55,106,0,34.2,0.322,"5th of 5",39,"",575,864,1503623,28.1,28.1,57,30,"J.Weaver (2.8)","P.Garner (0-6) and L.Pujols (55-100)","Detroit Tigers","Unpopular"
"415",2001,"AL Central",162,66,96,0,40.7,0.414,"4th of 5",25,"",724,876,1921305,28.3,28.1,44,22,"S.Sparks (4.4)","P.Garner (66-96)","Detroit Tigers","Unpopular"
"416",2000,"AL Central",162,79,83,0,48.8,0.498,"3rd of 5",16,"",823,827,2438617,29.1,29.1,45,23,"B.Higginson (5.3)","P.Garner (79-83)","Detroit Tigers","Popular"
"417",1999,"AL Central",161,69,92,0,42.9,0.425,"3rd of 5",27,"",747,882,2026441,27.5,27.6,41,21,"B.Ausmus (3.4)","L.Parrish (69-92)","Detroit Tigers","Popular"
"418",1998,"AL Central",162,65,97,0,40.1,0.419,"5th of 5",24,"",722,863,1409391,27.3,26.6,45,20,"D.Easley (5.6)","B.Bell (52-85) and L.Parrish (13-12)","Detroit Tigers","Unpopular"
"419",1997,"AL East",162,79,83,0,48.8,0.497,"3rd of 5",19,"",784,790,1365157,26.4,27.5,43,20,"J.Thompson (7.7)","B.Bell (79-83)","Detroit Tigers","Unpopular"
"420",1996,"AL East",162,53,109,0,32.7,0.348,"5th of 5",39,"",783,1103,1168610,27,26.7,53,27,"O.Olivares (3.6)","B.Bell (53-109)","Detroit Tigers","Unpopular"
"421",1995,"AL East",144,60,84,0,41.7,0.385,"4th of 5",26,"",654,844,1180979,28.8,27.8,45,22,"D.Wells (4.6)","S.Anderson (60-84)","Detroit Tigers","Unpopular"
"422",1994,"AL East",115,53,62,0,46.1,0.487,"5th of 5",18,"",652,671,1184783,30.8,31.2,36,18,"T.Phillips (4.7)","S.Anderson (53-62)","Detroit Tigers","Unpopular"
"423",1993,"AL East",162,85,77,0,52.5,0.533,"3rd of 7",10,"",899,837,1971421,30.8,30.1,40,22,"T.Phillips (5.6)","S.Anderson (85-77)","Detroit Tigers","Unpopular"
"424",1992,"AL East",162,75,87,0,46.3,0.498,"6th of 7",21,"",791,794,1423963,30,29.6,34,15,"T.Phillips (5.1)","S.Anderson (75-87)","Detroit Tigers","Unpopular"
"425",1991,"AL East",162,84,78,0,51.9,0.513,"2nd of 7",7,"",817,794,1641661,29.2,30.8,41,19,"L.Whitaker (6.8)","S.Anderson (84-78)","Detroit Tigers","Unpopular"
"426",1990,"AL East",162,79,83,0,48.8,0.498,"3rd of 7",9,"",750,754,1495785,30.7,30.3,43,20,"A.Trammell (6.7)","S.Anderson (79-83)","Detroit Tigers","Unpopular"
"427",1989,"AL East",162,59,103,0,36.4,0.375,"7th of 7",30,"",617,816,1543656,31,31,46,22,"L.Whitaker (5.3)","S.Anderson (59-103)","Detroit Tigers","Unpopular"
"428",1988,"AL East",162,88,74,0,54.3,0.53,"2nd of 7",1,"",703,658,2081162,32.2,31.1,37,14,"A.Trammell (6.0)","S.Anderson (88-74)","Detroit Tigers","Popular"
"429",1987,"AL East",162,98,64,0,60.5,0.59,"1st of 7",0,"Lost ALCS (4-1)",896,735,2061830,31.2,29.5,37,14,"A.Trammell (8.2)","S.Anderson (98-64)","Detroit Tigers","Popular"
"430",1986,"AL East",162,87,75,0,53.7,0.551,"3rd of 7",8,"",798,714,1899437,30.5,28.9,40,16,"A.Trammell (6.4)","S.Anderson (87-75)","Detroit Tigers","Unpopular"
"431",1985,"AL East",161,84,77,0,52.2,0.526,"3rd of 7",15,"",729,688,2286609,29.5,29.1,36,14,"K.Gibson (5.4)","S.Anderson (84-77)","Detroit Tigers","Popular"
"432",1984,"AL East",162,104,58,0,64.2,0.614,"1st of 7",0,"Won WS (4-1)",829,643,2704794,28.5,29.7,35,14,"A.Trammell (6.7)","S.Anderson (104-58)","Detroit Tigers","Popular"
"433",1983,"AL East",162,92,70,0,56.8,0.568,"2nd of 7",6,"",789,679,1829636,27.7,28.1,39,16,"L.Whitaker (6.7)","S.Anderson (92-70)","Detroit Tigers","Unpopular"
"434",1982,"AL East",162,83,79,0,51.2,0.528,"4th of 7",12,"",729,685,1636058,27.1,26.7,39,17,"L.Whitaker (5.4)","S.Anderson (83-79)","Detroit Tigers","Unpopular"
"435",1981,"AL East",109,60,49,0,55,0.525,"3rd of 7",2,"",427,404,1149144,27.1,26.2,34,14,"L.Whitaker (3.8)","S.Anderson (60-49)","Detroit Tigers","Unpopular"
"436",1980,"AL East",163,84,78,1,51.9,0.542,"4th of 7",19,"",830,757,1785293,26.4,25.6,34,14,"A.Trammell (4.8)","S.Anderson (84-78)","Detroit Tigers","Unpopular"
"437",1979,"AL East",161,85,76,0,52.8,0.519,"5th of 7",18,"",770,738,1630929,26.5,26.3,41,17,"J.Morris (5.8)","L.Moss (27-26), D.Tracewski (2-0) and S.Anderson (56-50)","Detroit Tigers","Unpopular"
"438",1978,"AL East",162,86,76,0,53.1,0.541,"5th of 7",13,"",714,653,1714893,26.2,27.1,34,17,"J.Thompson (5.6)","R.Houk (86-76)","Detroit Tigers","Unpopular"
"439",1977,"AL East",162,74,88,0,45.7,0.477,"4th of 7",26,"",714,751,1359856,27.3,25.8,38,15,"D.Rozema (5.6)","R.Houk (74-88)","Detroit Tigers","Unpopular"
"440",1976,"AL East",161,74,87,0,46,0.431,"5th of 6",24,"",609,709,1467020,28,26.7,33,12,"M.Fidrych (9.6)","R.Houk (74-87)","Detroit Tigers","Unpopular"
"441",1975,"AL East",159,57,102,0,35.8,0.357,"6th of 6",37,"",570,786,1058836,27.7,27.4,38,15,"M.Lolich (4.0)","R.Houk (57-102)","Detroit Tigers","Unpopular"
"442",1974,"AL East",162,72,90,0,44.4,0.403,"6th of 6",19,"",620,768,1243080,30,28.9,37,12,"B.Freehan (4.1)","R.Houk (72-90)","Detroit Tigers","Unpopular"
"443",1973,"AL East",162,85,77,0,52.5,0.478,"3rd of 6",12,"",642,674,1724146,31.6,30.4,39,16,"J.Hiller (7.9)","B.Martin (71-63) and J.Schultz (14-14)","Detroit Tigers","Unpopular"
"444",1972,"AL East",156,86,70,0,55.1,0.538,"1st of 6",0,"Lost ALCS (3-2)",558,514,1892386,30.7,27.8,44,20,"M.Lolich (7.2)","B.Martin (86-70)","Detroit Tigers","Unpopular"
"445",1971,"AL East",162,91,71,0,56.2,0.538,"2nd of 6",12,"",701,645,1591073,29.6,26.7,38,18,"M.Lolich (8.6)","B.Martin (91-71)","Detroit Tigers","Unpopular"
"446",1970,"AL East",162,79,83,0,48.8,0.457,"4th of 6",29,"",666,731,1501293,28.8,26.6,35,16,"M.Lolich (4.7)","M.Smith (79-83)","Detroit Tigers","Unpopular"
"447",1969,"AL East",162,90,72,0,55.6,0.57,"2nd of 6",19,"",701,601,1577481,28.8,28.1,34,16,"D.McLain (7.8)","M.Smith (90-72)","Detroit Tigers","Unpopular"
"448",2018,"AL West",162,103,59,0,63.6,0.675,"1st of 5",0,"Lost ALCS (4-1)",797,534,2980549,28.1,30,41,22,"A.Bregman (6.9)","A.Hinch (103-59)","Houston Astros","Popular"
"449",2017,"AL West",162,101,61,0,62.3,0.611,"1st of 5",0,"Won WS (4-3)",896,700,2403671,28.8,28.5,46,27,"J.Altuve (8.1)","A.Hinch (101-61)","Houston Astros","Popular"
"450",2016,"AL West",162,84,78,0,51.9,0.515,"3rd of 5",11,"",724,701,2306623,26.4,28.9,43,23,"J.Altuve (7.7)","A.Hinch (84-78)","Houston Astros","Popular"
"451",2015,"AL West",162,86,76,0,53.1,0.575,"2nd of 5",2,"Lost LDS (3-2)",729,618,2153585,26.3,29.4,46,24,"D.Keuchel (6.7)","A.Hinch (86-76)","Houston Astros","Popular"
"452",2014,"AL West",162,70,92,0,43.2,0.437,"4th of 5",28,"",629,723,1751829,25.4,27.9,48,28,"J.Altuve (6.1)","B.Porter (59-79) and T.Lawless (11-13)","Houston Astros","Unpopular"
"453",2013,"AL West",162,51,111,0,31.5,0.354,"5th of 5",45,"",610,848,1651883,25.9,27.2,50,26,"J.Castro (4.1)","B.Porter (51-111)","Houston Astros","Unpopular"
"454",2012,"NL Central",162,55,107,0,34,0.362,"6th of 6",42,"",583,794,1607733,26.6,27.2,50,26,"L.Harrell (3.1)","B.Mills (39-82) and T.DeFrancesco (16-25)","Houston Astros","Unpopular"
"455",2011,"NL Central",162,56,106,0,34.6,0.384,"6th of 6",40,"",615,796,2067016,28.2,27.2,47,23,"C.Lee (3.9)","B.Mills (56-106)","Houston Astros","Popular"
"456",2010,"NL Central",162,76,86,0,46.9,0.42,"4th of 6",15,"",611,729,2331490,29.5,29.6,48,25,"M.Bourn (5.5)","B.Mills (76-86)","Houston Astros","Popular"
"457",2009,"NL Central",162,74,88,0,45.7,0.418,"5th of 6",17,"",643,770,2521076,31.6,31.2,42,22,"M.Bourn (5.0)","C.Cooper (70-79) and D.Clark (4-9)","Houston Astros","Popular"
"458",2008,"NL Central",161,86,75,0,53.4,0.481,"3rd of 6",11,"",712,743,2779487,31.1,30.9,41,20,"L.Berkman (6.9)","C.Cooper (86-75)","Houston Astros","Popular"
"459",2007,"NL Central",162,73,89,0,45.1,0.447,"4th of 6",12,"",723,813,3020405,31.4,30.2,41,21,"R.Oswalt (6.6)","P.Garner (58-73) and C.Cooper (15-16)","Houston Astros","Very popular"
"460",2006,"NL Central",162,82,80,0,50.6,0.51,"2nd of 6",1,"",735,719,3022763,30.5,29.8,39,19,"L.Berkman (6.0)","P.Garner (82-80)","Houston Astros","Very popular"
"461",2005,"NL Central",163,89,73,1,54.9,0.559,"2nd of 6",11,"Lost WS (4-0)",693,609,2804760,30.3,30.3,36,17,"R.Clemens (8.2)","P.Garner (89-73)","Houston Astros","Popular"
"462",2004,"NL Central",162,92,70,0,56.8,0.564,"2nd of 6",13,"Lost NLCS (4-3)",803,698,3087872,31.7,29.6,42,23,"L.Berkman (6.0)","J.Williams (44-44) and P.Garner (48-26)","Houston Astros","Very popular"
"463",2003,"NL Central",162,87,75,0,53.7,0.579,"2nd of 6",1,"",805,677,2454241,31.1,27.6,44,23,"R.Hidalgo (5.7)","J.Williams (87-75)","Houston Astros","Popular"
"464",2002,"NL Central",162,84,78,0,51.9,0.534,"2nd of 6",13,"",749,695,2517357,30.1,27.3,41,21,"R.Oswalt (6.9)","J.Williams (84-78)","Houston Astros","Popular"
"465",2001,"NL Central",162,93,69,0,57.4,0.544,"1st of 6",0,"Lost LDS (3-0)",847,769,2904277,30.3,28.4,45,25,"L.Berkman (6.5)","L.Dierker (93-69)","Houston Astros","Popular"
"466",2000,"NL Central",162,72,90,0,44.4,0.497,"4th of 6",23,"",938,944,3056139,29.1,28,46,23,"R.Hidalgo (6.3)","L.Dierker (72-90)","Houston Astros","Very popular"
"467",1999,"NL Central",162,97,65,0,59.9,0.59,"1st of 6",0,"Lost LDS (3-1)",823,675,2706017,29.8,27.4,38,15,"M.Hampton (7.9)","L.Dierker (84-51) and M.Galante (13-14)","Houston Astros","Popular"
"468",1998,"NL Central",162,102,60,0,63,0.652,"1st of 6",0,"Lost LDS (3-1)",874,620,2458451,29.7,27.8,38,18,"C.Biggio (6.5)","L.Dierker (102-60)","Houston Astros","Popular"
"469",1997,"NL Central",162,84,78,0,51.9,0.574,"1st of 5",0,"Lost LDS (3-0)",777,660,2046781,28.8,27,41,18,"C.Biggio (9.4)","L.Dierker (84-78)","Houston Astros","Popular"
"470",1996,"NL Central",162,82,80,0,50.6,0.477,"2nd of 5",6,"",753,792,1975888,28.2,28.5,43,22,"J.Bagwell (7.5)","T.Collins (82-80)","Houston Astros","Unpopular"
"471",1995,"NL Central",144,76,68,0,52.8,0.547,"2nd of 5",9,"",747,674,1363801,28.1,27.9,44,19,"C.Biggio (6.3)","T.Collins (76-68)","Houston Astros","Unpopular"
"472",1994,"NL Central",115,66,49,0,57.4,0.581,"2nd of 5",0,"",602,503,1561136,27.8,27.2,33,13,"J.Bagwell (8.2)","T.Collins (66-49)","Houston Astros","Unpopular"
"473",1993,"NL West",162,85,77,0,52.5,0.558,"3rd of 7",19,"",716,630,2084618,27.1,28.3,36,16,"J.Bagwell (5.4)","A.Howe (85-77)","Houston Astros","Popular"
"474",1992,"NL West",162,81,81,0,50,0.457,"4th of 6",17,"",608,668,1211412,26.4,27.1,38,16,"S.Finley (5.7)","A.Howe (81-81)","Houston Astros","Unpopular"
"475",1991,"NL West",162,65,97,0,40.1,0.423,"6th of 6",29,"",605,717,1196152,26.1,26.4,44,19,"S.Finley (5.2)","A.Howe (65-97)","Houston Astros","Unpopular"
"476",1990,"NL West",162,75,87,0,46.3,0.438,"4th of 6",16,"",573,656,1310927,28.4,31.8,44,17,"D.Darwin (5.2)","A.Howe (75-87)","Houston Astros","Unpopular"
"477",1989,"NL West",162,86,76,0,53.1,0.485,"3rd of 6",6,"",647,669,1834908,29,33,37,17,"K.Caminiti (4.9)","A.Howe (86-76)","Houston Astros","Unpopular"
"478",1988,"NL West",162,82,80,0,50.6,0.49,"5th of 6",12,"",617,631,1933505,29.5,33.1,39,15,"G.Davis (4.3)","H.Lanier (82-80)","Houston Astros","Unpopular"
"479",1987,"NL West",162,76,86,0,46.9,0.479,"3rd of 6",14,"",648,678,1909902,29.9,31.6,43,17,"M.Scott (5.6)","H.Lanier (76-86)","Houston Astros","Unpopular"
"480",1986,"NL West",162,96,66,0,59.3,0.563,"1st of 6",0,"Lost NLCS (4-2)",654,569,1734276,29.9,30.7,40,19,"M.Scott (8.2)","H.Lanier (96-66)","Houston Astros","Unpopular"
"481",1985,"NL West",162,83,79,0,51.2,0.51,"3rd of 6",12,"",706,691,1184314,29.9,31.4,38,16,"B.Doran (5.4)","B.Lillis (83-79)","Houston Astros","Unpopular"
"482",1984,"NL West",162,80,82,0,49.4,0.543,"2nd of 6",12,"",693,630,1229862,30.1,31.3,36,14,"J.Cruz (6.3)","B.Lillis (80-82)","Houston Astros","Unpopular"
